-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 177.34.71.239, port 51938
[  5] local 172.31.8.63 port 5201 connected to 177.34.71.239 port 51939
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  8.12 MBytes  68.1 Mbits/sec    0    428 KBytes       
[  5]   1.00-2.00   sec  7.12 MBytes  59.8 Mbits/sec    0    428 KBytes       
[  5]   2.00-3.00   sec  7.00 MBytes  58.7 Mbits/sec    0    428 KBytes       
[  5]   3.00-4.00   sec  7.12 MBytes  59.8 Mbits/sec    0    428 KBytes       
[  5]   4.00-5.00   sec  7.12 MBytes  59.8 Mbits/sec    0    428 KBytes       
[  5]   5.00-6.00   sec  7.12 MBytes  59.8 Mbits/sec    0    428 KBytes       
[  5]   6.00-7.00   sec  6.75 MBytes  56.6 Mbits/sec    0    428 KBytes       
[  5]   7.00-8.00   sec  6.88 MBytes  57.7 Mbits/sec    0    428 KBytes       
[  5]   8.00-9.00   sec  7.00 MBytes  58.7 Mbits/sec    0    428 KBytes       
[  5]   9.00-10.00  sec  7.25 MBytes  60.8 Mbits/sec    0    428 KBytes       
[  5]  10.00-11.00  sec  7.25 MBytes  60.8 Mbits/sec    0    428 KBytes       
[  5]  11.00-12.00  sec  6.75 MBytes  56.6 Mbits/sec    0    428 KBytes       
[  5]  12.00-13.00  sec  6.62 MBytes  55.6 Mbits/sec    0    428 KBytes       
[  5]  13.00-14.00  sec  7.38 MBytes  61.9 Mbits/sec    0    428 KBytes       
[  5]  14.00-15.00  sec  7.12 MBytes  59.8 Mbits/sec    0    428 KBytes       
[  5]  15.00-16.00  sec  6.88 MBytes  57.7 Mbits/sec    0    428 KBytes       
[  5]  16.00-17.00  sec  6.88 MBytes  57.7 Mbits/sec    0    428 KBytes       
[  5]  17.00-18.00  sec  7.25 MBytes  60.8 Mbits/sec    0    428 KBytes       
[  5]  18.00-19.00  sec  7.62 MBytes  64.0 Mbits/sec    0    428 KBytes       
[  5]  19.00-20.00  sec  6.62 MBytes  55.6 Mbits/sec    0    428 KBytes       
[  5]  20.00-21.00  sec  3.38 MBytes  28.3 Mbits/sec    0    428 KBytes       
[  5]  21.00-22.00  sec  3.25 MBytes  27.3 Mbits/sec   16    167 KBytes       
[  5]  22.00-23.00  sec  1.88 MBytes  15.7 Mbits/sec    0    299 KBytes       
[  5]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec   38    145 KBytes       
[  5]  24.00-25.00  sec  1.00 MBytes  8.39 Mbits/sec   42   75.6 KBytes       
[  5]  25.00-26.00  sec   384 KBytes  3.15 Mbits/sec    8   27.1 KBytes       
[  5]  26.00-27.00  sec   512 KBytes  4.19 Mbits/sec    0   37.1 KBytes       
[  5]  27.00-28.00  sec   768 KBytes  6.29 Mbits/sec    0   51.3 KBytes       
[  5]  28.00-29.00  sec  1.00 MBytes  8.39 Mbits/sec    0   64.2 KBytes       
[  5]  29.00-30.00  sec   640 KBytes  5.24 Mbits/sec    3   1.43 KBytes       
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    1   1.43 KBytes       
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    1   1.43 KBytes       
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   1.43 KBytes       
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    1   1.43 KBytes       
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   1.43 KBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   1.43 KBytes       
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   1.43 KBytes       
[  5]  37.00-38.00  sec   896 KBytes  7.34 Mbits/sec   48   87.0 KBytes       
[  5]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0    153 KBytes       
[  5]  39.00-40.00  sec  1.12 MBytes  9.44 Mbits/sec    3    140 KBytes       
[  5]  40.00-41.00  sec  1.38 MBytes  11.5 Mbits/sec    0    165 KBytes       
[  5]  41.00-42.00  sec  1.38 MBytes  11.5 Mbits/sec    0    178 KBytes       
[  5]  42.00-43.00  sec  1.38 MBytes  11.5 Mbits/sec    1    134 KBytes       
[  5]  43.00-44.00  sec  1.12 MBytes  9.44 Mbits/sec    0    148 KBytes       
[  5]  44.00-45.00  sec  1.38 MBytes  11.5 Mbits/sec    0    155 KBytes       
[  5]  45.00-46.00  sec  1.50 MBytes  12.6 Mbits/sec    0    155 KBytes       
[  5]  46.00-47.00  sec  1.38 MBytes  11.5 Mbits/sec    0    157 KBytes       
[  5]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0    164 KBytes       
[  5]  48.00-49.00  sec  1.38 MBytes  11.5 Mbits/sec    0    170 KBytes       
iperf3: error - select failed: Bad file descriptor
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
